countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Nigeria,NGA,2024,133329232.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.63,Abuja,Africa,Western Africa,https://flagcdn.com/w320/ng.png,..\output\imagenes_procesadas\ng.jpg
North Macedonia,MKD,2024,1515847.0,Europe & Central Asia (excluding high income),Upper middle income,0.84,Skopje,Europe,Southern Europe,https://flagcdn.com/w320/mk.png,..\output\imagenes_procesadas\mk.jpg
Norway,NOR,2024,4608487.0,High income,High income,0.99,Oslo,Europe,Northern Europe,https://flagcdn.com/w320/no.png,..\output\imagenes_procesadas\no.jpg
Oman,OMN,2024,3775451.0,High income,High income,0.7,Muscat,Asia,Western Asia,https://flagcdn.com/w320/om.png,..\output\imagenes_procesadas\om.jpg
Pakistan,PAK,2024,155833628.0,South Asia (excluding high income),Lower middle income,0.27,Islamabad,Asia,Southern Asia,https://flagcdn.com/w320/pk.png,..\output\imagenes_procesadas\pk.jpg
Panama,PAN,2024,3331755.0,High income,High income,0.64,Panama City,Americas,Central America,https://flagcdn.com/w320/pa.png,..\output\imagenes_procesadas\pa.jpg
Paraguay,PRY,2024,4874331.0,Latin America & Caribbean (excluding high income),Upper middle income,0.61,Asunción,Americas,South America,https://flagcdn.com/w320/py.png,..\output\imagenes_procesadas\py.jpg
Peru,PER,2024,25601447.0,Latin America & Caribbean (excluding high income),Upper middle income,0.59,Lima,Americas,South America,https://flagcdn.com/w320/pe.png,..\output\imagenes_procesadas\pe.jpg
Philippines,PHL,2024,82023644.0,East Asia & Pacific (excluding high income),Lower middle income,0.5,Manila,Asia,South-Eastern Asia,https://flagcdn.com/w320/ph.png,..\output\imagenes_procesadas\ph.jpg
Poland,POL,2024,31148749.0,High income,High income,0.86,Warsaw,Europe,Central Europe,https://flagcdn.com/w320/pl.png,..\output\imagenes_procesadas\pl.jpg
Portugal,PRT,2024,9214262.0,High income,High income,0.91,Lisbon,Europe,Southern Europe,https://flagcdn.com/w320/pt.png,..\output\imagenes_procesadas\pt.jpg
Romania,ROU,2024,16033507.0,High income,High income,0.71,Bucharest,Europe,Eastern Europe,https://flagcdn.com/w320/ro.png,..\output\imagenes_procesadas\ro.jpg
Russian Federation,RUS,2024,118635010.0,Europe & Central Asia (excluding high income),Upper middle income,0.79,Moscow,Europe,Eastern Europe,https://flagcdn.com/w320/ru.png,..\output\imagenes_procesadas\ru.jpg
Saudi Arabia,SAU,2024,25248449.0,High income,High income,0.79,Riyadh,Asia,Western Asia,https://flagcdn.com/w320/sa.png,..\output\imagenes_procesadas\sa.jpg
Senegal,SEN,2024,11094279.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.76,Dakar,Africa,Western Africa,https://flagcdn.com/w320/sn.png,..\output\imagenes_procesadas\sn.jpg
Serbia,SRB,2024,5672737.0,Europe & Central Asia (excluding high income),Upper middle income,0.83,Belgrade,Europe,Southern Europe,https://flagcdn.com/w320/rs.png,..\output\imagenes_procesadas\rs.jpg
Sierra Leone,SLE,2024,5200533.0,Sub-Saharan Africa (excluding high income),Low income,0.39,Freetown,Africa,Western Africa,https://flagcdn.com/w320/sl.png,..\output\imagenes_procesadas\sl.jpg
Singapore,SGP,2024,5220107.0,High income,High income,0.98,Singapore,Asia,South-Eastern Asia,https://flagcdn.com/w320/sg.png,..\output\imagenes_procesadas\sg.jpg
Slovenia,SVN,2024,1803880.0,High income,High income,0.99,Ljubljana,Europe,Southern Europe,https://flagcdn.com/w320/si.png,..\output\imagenes_procesadas\si.jpg
South Africa,ZAF,2024,46723498.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.81,Pretoria,Africa,Southern Africa,https://flagcdn.com/w320/za.png,..\output\imagenes_procesadas\za.jpg
Spain,ESP,2024,41937630.0,High income,High income,0.98,Madrid,Europe,Southern Europe,https://flagcdn.com/w320/es.png,..\output\imagenes_procesadas\es.jpg
Sri Lanka,LKA,2024,17109247.0,South Asia (excluding high income),Lower middle income,0.82,Sri Jayawardenepura Kotte,Asia,Southern Asia,https://flagcdn.com/w320/lk.png,..\output\imagenes_procesadas\lk.jpg
Sweden,SWE,2024,8719085.0,High income,High income,0.99,Stockholm,Europe,Northern Europe,https://flagcdn.com/w320/se.png,..\output\imagenes_procesadas\se.jpg
Switzerland,CHE,2024,7553903.0,High income,High income,0.98,Bern,Europe,Central Europe,https://flagcdn.com/w320/ch.png,..\output\imagenes_procesadas\ch.jpg
Tajikistan,TJK,2024,6596875.0,Europe & Central Asia (excluding high income),Lower middle income,0.55,Dushanbe,Asia,Central Asia,https://flagcdn.com/w320/tj.png,..\output\imagenes_procesadas\tj.jpg
Tanzania,TZA,2024,38155970.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.6,Dodoma,Africa,Eastern Africa,https://flagcdn.com/w320/tz.png,..\output\imagenes_procesadas\tz.jpg
Thailand,THA,2024,60882768.0,East Asia & Pacific (excluding high income),Upper middle income,0.92,Bangkok,Asia,South-Eastern Asia,https://flagcdn.com/w320/th.png,..\output\imagenes_procesadas\th.jpg
Togo,TGO,2024,5593530.0,Sub-Saharan Africa (excluding high income),Low income,0.57,Lomé,Africa,Western Africa,https://flagcdn.com/w320/tg.png,..\output\imagenes_procesadas\tg.jpg
Trinidad and Tobago,TTO,2024,1120989.0,High income,High income,0.75,Port of Spain,Americas,Caribbean,https://flagcdn.com/w320/tt.png,..\output\imagenes_procesadas\tt.jpg
Tunisia,TUN,2024,9219268.0,Middle East & North Africa (excluding high income),Lower middle income,0.38,Tunis,Africa,Northern Africa,https://flagcdn.com/w320/tn.png,..\output\imagenes_procesadas\tn.jpg
Uganda,UGA,2024,27277834.0,Sub-Saharan Africa (excluding high income),Low income,0.73,Kampala,Africa,Eastern Africa,https://flagcdn.com/w320/ug.png,..\output\imagenes_procesadas\ug.jpg
Ukraine,UKR,2024,32338724.0,Europe & Central Asia (excluding high income),Lower middle income,0.88,Kyiv,Europe,Eastern Europe,https://flagcdn.com/w320/ua.png,..\output\imagenes_procesadas\ua.jpg
United Kingdom,GBR,2024,56450851.0,High income,High income,0.99,London,Europe,Northern Europe,https://flagcdn.com/w320/gb.png,..\output\imagenes_procesadas\gb.jpg
United States,USA,2024,275987833.0,High income,High income,0.97,,Americas,Northern America,https://flagcdn.com/w320/um.png,..\output\imagenes_procesadas\um.jpg
Uruguay,URY,2024,2755004.0,High income,High income,0.74,Montevideo,Americas,South America,https://flagcdn.com/w320/uy.png,..\output\imagenes_procesadas\uy.jpg
Uzbekistan,UZB,2024,24646062.0,Europe & Central Asia (excluding high income),Lower middle income,0.6,Tashkent,Asia,Central Asia,https://flagcdn.com/w320/uz.png,..\output\imagenes_procesadas\uz.jpg
Zambia,ZMB,2024,12029200.0,Sub-Saharan Africa (excluding high income),Low income,0.73,Lusaka,Africa,Eastern Africa,https://flagcdn.com/w320/zm.png,..\output\imagenes_procesadas\zm.jpg
Zimbabwe,ZWE,2024,9588258.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.5,Harare,Africa,Southern Africa,https://flagcdn.com/w320/zw.png,..\output\imagenes_procesadas\zw.jpg
